"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","num_species","num_replicates_in_data","num_cases"
1,"e2e + reshuffle",0.000695192796177561,0.500077208529971,0.5,0.480071663977936,0.0487633285153841,9,3,1536
2,"e2e + reshuffle",0.000695192796177561,0.500148127119559,0.5,0.515084032499761,0.0696146540165577,9,3,1536
3,"e2e + reshuffle",0.000695192796177561,0.500264894999418,0.5,0.522943702863656,0.171043776200141,9,3,1536
4,"e2e + reshuffle",0.000695192796177561,0.500171160948045,0.5,0.639498352154445,0.000278321454470581,9,3,1536
5,"e2e + reshuffle",0.000695192796177561,0.500833185648849,0.5,0.564543363664407,0.195505972995145,9,3,1536
1,"e2e",0.000695192796177561,0.500237097272958,0.5,0.517953969844522,0.127850178776216,9,3,1536
2,"e2e",0.000695192796177561,0.500237097272958,0.5,0.615620661213105,0.199010298315301,9,3,1536
3,"e2e",0.000695192796177561,0.500581346015596,0.5,0.624720080993812,0.144515913482604,9,3,1536
4,"e2e",0.000695192796177561,0.517814391716529,0.5,0.540305985410689,0.00282335716906547,9,3,1536
5,"e2e",0.000695192796177561,0.517814391716529,0.5,0.58407817668065,0.142035170080618,9,3,1536
1,"naive",0.00143844988828766,0.432998116051652,0.5,0.874037523045223,0.195410166629619,9,3,1536
2,"naive",0.00143844988828766,0.433640549953843,0.5,0.874254419260384,0.195492905824115,9,3,1536
3,"naive",0.00143844988828766,0.432270084811163,0.5,0.874145971152803,0.195481147202479,9,3,1536
4,"naive",0.00143844988828766,0.433252736275894,0.5,0.873915401301518,0.195191243165766,9,3,1536
5,"naive",0.00143844988828766,0.432966067985261,0.5,0.874132321041215,0.195472707839226,9,3,1536
1,"e2e + reshuffle",0.00143844988828766,0.499426283952409,0.5,0.567063046080309,0.140561798180323,9,3,1536
2,"e2e + reshuffle",0.00143844988828766,0.500453882020669,0.5,0.626136588676557,0.0727210422745198,9,3,1536
3,"e2e + reshuffle",0.00143844988828766,0.500054723072992,0.5,0.651399518562448,0.191709741784244,9,3,1536
4,"e2e + reshuffle",0.00143844988828766,0.498908472848417,0.5,0.614148304588265,0.110339978795072,9,3,1536
