"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
1,1,0,0,1,0,0,1,1,3,0,0,0,0,206,0,0,43,5,NA,403
1,1,0,0,1,0,0,1,1,3,0,0,0,0,250,0,0,69,32,NA,403
1,1,0,0,1,0,1,0,0,2,0,0,0,0,195,0,78,0,0,NA,83
1,1,0,0,1,0,1,0,0,2,0,0,0,0,104,0,95,0,0,NA,83
1,1,0,0,1,0,1,0,0,3,0,4,0,0,241,0,9,0,0,NA,83
1,1,0,0,1,0,1,1,0,3,0,0,0,0,200,0,9,37,0,NA,211
1,1,0,0,1,0,1,1,0,4,0,2,0,0,256,0,8,22,0,NA,211
1,1,0,0,1,0,1,1,1,4,0,0,0,0,193,0,14,72,9,NA,467
1,1,0,0,1,0,1,1,1,4,0,0,0,0,297,0,16,78,5,NA,467
1,1,0,0,1,0,1,1,1,4,0,0,0,0,114,0,3,75,3,NA,467
1,1,0,0,1,1,0,1,1,3,0,0,0,0,270,0,0,46,33,NA,435
1,1,0,0,1,1,0,1,1,3,0,0,0,0,252,0,0,82,35,NA,435
1,1,0,0,1,1,0,1,1,3,0,0,0,0,113,0,0,96,5,NA,435
1,1,0,0,1,1,1,0,1,4,2,0,0,0,247,0,21,0,14,NA,371
1,1,0,0,1,1,1,0,1,3,0,0,0,0,267,0,10,0,22,NA,371
1,1,0,0,1,1,1,0,1,4,0,0,0,0,151,4,55,0,37,NA,371
1,1,0,1,0,0,0,0,1,3,0,1,0,158,0,0,0,0,1,NA,267
1,1,0,1,0,0,0,0,1,2,0,0,0,177,0,0,0,0,49,NA,267
1,1,0,1,0,0,0,0,1,2,0,0,0,238,0,0,0,0,4,NA,267
1,1,0,1,0,0,0,1,1,2,0,0,0,251,0,0,0,5,0,NA,395
1,1,0,1,0,0,0,1,1,2,0,0,0,123,0,0,0,63,0,NA,395
1,1,0,1,0,0,0,1,1,4,1,0,0,159,0,0,0,3,14,NA,395
1,1,0,1,0,0,1,0,1,4,5,0,0,153,0,0,39,0,3,NA,331
1,1,0,1,0,0,1,0,1,3,0,0,0,251,0,0,4,0,14,NA,331
1,1,0,1,0,0,1,0,1,2,0,0,0,279,0,0,15,0,0,NA,331
1,1,0,1,0,0,1,1,1,3,0,0,0,183,0,0,0,16,1,NA,459
1,1,0,1,0,0,1,1,1,2,0,0,0,289,0,0,3,0,0,NA,459
1,1,0,1,0,0,1,1,1,3,0,0,0,185,0,0,0,4,5,NA,459
1,1,0,1,0,1,0,1,1,2,0,0,0,158,0,0,0,31,0,NA,427
1,1,0,1,0,1,0,1,1,3,0,0,0,183,0,0,0,4,1,NA,427
1,1,0,1,0,1,0,1,1,4,0,1,0,265,0,1,0,10,0,NA,427
